Is Duplicate Row?,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Location,Above Ground Sighter Measurement,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Lat/Long,Lat/Long - Split 1,Lat/Long - Split 2
Unique,-73.954584183,40.792692427,36H-AM-1010-01,36H,AM,10102018,1,Adult,Gray,Black,Gray+Black,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9545841828392 40.7926924268376),POINT,(-73.9545841828392 40.7926924268376)
Unique,-73.953265772,40.794904681,39G-AM-1018-02,39G,AM,10182018,2,Juvenile,Gray,,Gray+,Above Ground,25,False,False,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.9532657715601 40.7949046809422),POINT,(-73.9532657715601 40.7949046809422)
Unique,-73.977463082,40.768062667,3D-PM-1010-11,03D,PM,10102018,11,Adult,Gray,White,Gray+White,Ground Plane,FALSE,True,False,False,False,True,False,False,False,False,False,False,False,False,POINT (-73.9774630821854 40.76806266740861),POINT,(-73.9774630821854 40.76806266740861)
Unique,-73.969142041,40.777349258,15E-PM-1008-03,15E,PM,10082018,3,Adult,Gray,,Gray+,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9691420412059 40.7773492582138),POINT,(-73.9691420412059 40.7773492582138)
Unique,-73.967563433,40.781347735,19D-AM-1007-01,19D,AM,10072018,1,Juvenile,Gray,,Gray+,Ground Plane,FALSE,False,False,True,True,False,False,False,False,False,False,False,False,False,POINT (-73.9675634326877 40.7813477352507),POINT,(-73.9675634326877 40.7813477352507)
Unique,-73.954604293,40.789813373,33I-PM-1006-07,33I,PM,10062018,7,Adult,Gray,,Gray+,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,False,True,POINT (-73.9546042927016 40.7898133734952),POINT,(-73.9546042927016 40.7898133734952)
Unique,-73.956931811,40.797344214,40C-PM-1006-07,40C,PM,10062018,7,Adult,Gray,,Gray+,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,False,True,POINT (-73.9569318105253 40.7973442139041),POINT,(-73.9569318105253 40.7973442139041)
Unique,-73.965409384,40.780689637,20F-PM-1007-09,20F,PM,10072018,9,Adult,Cinnamon,Gray,Cinnamon+Gray,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,True,False,False,POINT (-73.9654093844049 40.7806896368469),POINT,(-73.9654093844049 40.7806896368469)
Unique,-73.964506043,40.776832206,16I-AM-1008-03,16I,AM,10082018,3,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,True,False,True,False,POINT (-73.9645060433292 40.7768322057794),POINT,(-73.9645060433292 40.7768322057794)
Unique,-73.954587774,40.790000121,33I-PM-1006-01,33I,PM,10062018,1,Adult,Gray,,Gray+,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,False,False,POINT (-73.9545877741228 40.7900001210353),POINT,(-73.9545877741228 40.7900001210353)
Unique,-73.973553371,40.769060561,5F-PM-1007-05,05F,PM,10072018,5,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9735533713513 40.7690605609001),POINT,(-73.9735533713513 40.7690605609001)
Unique,-73.967705487,40.778992870,17E-AM-1017-03,17E,AM,10172018,3,Adult,Gray,,Gray+,Above Ground,9,False,False,True,False,False,False,False,False,False,False,False,False,False,POINT (-73.9677054870327 40.778992870166),POINT,(-73.9677054870327 40.778992870166)
Unique,-73.966178594,40.774256994,13I-PM-1008-01,13I,PM,10082018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,Above Ground,5,True,False,True,False,False,False,False,False,False,False,False,True,False,POINT (-73.9661785940531 40.7742569936186),POINT,(-73.9661785940531 40.7742569936186)
Unique,-73.962398426,40.791390045,31C-PM-1010-03,31C,PM,10102018,3,Adult,Gray,White,Gray+White,Above Ground,10,False,False,True,False,False,False,False,False,False,False,False,False,True,POINT (-73.9623984262936 40.7913900453449),POINT,(-73.9623984262936 40.7913900453449)
Unique,-73.976817330,40.766126181,1F-PM-1019-01,01F,PM,10192018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,False,True,POINT (-73.9768173303165 40.7661261813557),POINT,(-73.9768173303165 40.7661261813557)
Unique,-73.971973558,40.769304513,6G-PM-1020-02,06G,PM,10202018,2,Adult,Gray,,Gray+,Ground Plane,FALSE,True,True,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.9719735582476 40.7693045133578),POINT,(-73.9719735582476 40.7693045133578)
Unique,-73.971525116,40.774621785,11E-PM-1012-07,11E,PM,10122018,7,Adult,Gray,White,Gray+White,Ground Plane,FALSE,False,False,False,True,False,False,False,False,False,False,False,True,False,POINT (-73.9715251156965 40.774621784862),POINT,(-73.9715251156965 40.774621784862)
Unique,-73.965609819,40.775764308,15I-AM-1008-05,15I,AM,10082018,5,Adult,Gray,,Gray+,Above Ground,5,False,False,True,False,False,False,False,False,False,False,False,False,True,POINT (-73.9656098194149 40.7757643078973),POINT,(-73.9656098194149 40.7757643078973)
Unique,-73.962948337,40.793680991,33A-PM-1018-03,33A,PM,10182018,3,Adult,Gray,,Gray+,Above Ground,6,True,False,True,False,False,False,False,False,False,False,False,False,True,POINT (-73.9629483374528 40.7936809905265),POINT,(-73.9629483374528 40.7936809905265)
Unique,-73.963164867,40.792652962,32A-PM-1013-08,32A,PM,10132018,8,Adult,Gray,White,Gray+White,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,True,False,POINT (-73.9631648674122 40.7926529617419),POINT,(-73.9631648674122 40.7926529617419)
Unique,-73.959650514,40.794036773,35C-PM-1013-06,35C,PM,10132018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,False,False,POINT (-73.9596505138955 40.7940367734988),POINT,(-73.9596505138955 40.7940367734988)
Unique,-73.980027149,40.770255417,4A-PM-1007-06,04A,PM,10072018,6,Adult,Gray,White,Gray+White,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,True,False,False,False,POINT (-73.9800271487863 40.7702554167042),POINT,(-73.9800271487863 40.7702554167042)
Unique,-73.979708487,40.769888524,3A-PM-1017-06,03A,PM,10172018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,False,True,POINT (-73.9797084866613 40.7698885241349),POINT,(-73.9797084866613 40.7698885241349)
Unique,-73.973420644,40.765785468,2H-PM-1006-01,02H,PM,10062018,1,Adult,Gray,,Gray+,Ground Plane,FALSE,False,False,False,True,False,False,False,False,False,False,False,True,False,POINT (-73.9734206435334 40.7657854684194),POINT,(-73.9734206435334 40.7657854684194)
